Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Code
Zach Frazier,23,PIT,C,15,15,0,0,0,0,0,0,1,0,-7,0,0,0,0,0,0,0,0,,FrazZa00
Pat Freiermuth,26,PIT,TE,17,11,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,,FreiPa00
Hjalte Froholdt,28,ARI,OL,17,17,0,0,0,0,0,0,1,1,-5,0,0,0,0,0,0,0,0,,FrohHj00
Taliese Fuaga,22,NOR,OT,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,FuagTa00
Jordan Fuller,26,CAR,S,9,9,0,0,0,0,1,1,0,0,0,0,0,54,28,26,0,0,0,,FullJo01
Kendall Fuller,29,MIA,CB,11,11,0,0,0,0,7,0,0,1,1,0,0,50,37,13,1,0,0,,FullKe00
Kristian Fulton,26,LAC,CB,15,14,1,29,0,29,7,0,1,0,0,0,0,51,39,12,3,0,0,,FultKr00
Tyrek Funderburk,24,TAM,CB,13,2,0,0,0,0,1,1,0,0,0,0,0,14,10,4,0,0,0,,FundTy00
Amari Gainer,24,LVR,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,,GainAm00
Greg Gaines,28,TAM,DL,15,3,0,0,0,0,0,0,0,0,0,0,1,17,7,10,2,4,0,,GainGr00
Kenneth Gainwell,25,PHI,RB,17,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,,GainKe00
Neville Gallimore,27,LAR,NT,14,4,0,0,0,0,0,0,0,0,0,0,0,19,7,12,0,1,0,,GallNe00
Graham Gano,37,NYG,K,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,GanoGr44
Dallas Gant,24,PHI,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,GantDa00
Elijah Garcia,26,NYG,DL,5,3,0,0,0,0,0,0,0,1,0,0,0,14,5,9,2,1,0,,GarcEl00
Dennis Gardeck,30,ARI,OLB,7,3,1,10,0,10,2,1,0,0,0,0,3,22,17,5,6,4,0,,GardDe01
Sauce Gardner,24,NYJ,CB,15,15,1,0,0,0,9,0,0,0,0,0,1,49,36,13,1,1,0,,GardSa00
C.J. Gardner-Johnson,27,PHI,S,16,16,6,116,1,69,12,1,0,0,0,0,0,59,35,24,2,0,0,,GardCh00
Myles Garrett,29,CLE,DE,17,17,0,0,0,0,1,3,0,1,0,0,14,47,40,7,22,28,0,PBAP-1,GarrMy00
Rashan Gary,27,GNB,DL,17,17,0,0,0,0,1,1,0,1,0,0,7.5,47,26,21,9,15,0,PB,GaryRa00
Nick Gates,29,PHI,OL,9,1,0,0,0,0,0,0,1,0,-14,0,0,0,0,0,0,0,0,,GateNi00
Matt Gay,30,IND,K,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,GayxMa00
Willie Gay Jr.,26,NOR,LB,15,8,0,0,0,0,3,1,0,2,4,0,2,28,19,9,2,1,0,,GayJWi00
Ali Gaye,26,TEN,OLB,15,0,0,0,0,0,0,0,0,0,0,0,1,8,7,1,3,1,0,,GayeAl01
Joe Gaziano,28,JAX,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,GaziJo01
Mike Gesicki,29,CIN,TE,17,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,GesiMi00
William Gholston,33,TAM,DL,17,3,0,0,0,0,0,0,0,0,0,0,1,12,6,6,1,4,0,,GholWi00
Jack Gibbens,26,TEN,LB,10,5,0,0,0,0,0,0,0,0,0,0,0.5,44,22,22,2,1,0,,GibbJa00
Jahmyr Gibbs,22,DET,RB,17,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PB,GibbJa01
Antonio Gibson,26,NWE,RB,17,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,GibsAn00
Luke Gifford,29,TEN,LB,16,4,1,0,0,0,2,0,0,0,0,0,0,49,31,18,1,0,0,,GiffLu00
Joe Giles-Harris,27,2TM,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,,GileJo01
Cam Gill,27,CAR,OLB,10,0,0,0,0,0,0,0,0,0,0,0,0,22,6,16,0,4,0,,GillCa00
Trenton Gill,25,TAM,P,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,GillTr01
Reggie Gilliam,27,BUF,FB,15,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,,GillRe00
Blake Gillikin,26,ARI,P,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,GillBl00
Alohi Gilman,27,LAC,S,11,11,1,18,0,18,4,0,0,0,0,0,1,50,34,16,1,0,0,,GilmAl00
Stephon Gilmore,34,MIN,CB,15,15,1,0,0,0,9,0,0,0,0,0,0,56,40,16,1,0,0,,GilmSt00
Tashaun Gipson,34,SFO,S,9,0,0,0,0,0,1,0,0,0,0,0,0,6,5,1,0,0,0,,GipsTa00
Xavier Gipson,23,NYJ,WR,17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,GipsXa00
Kevin Givens,27,SFO,DL,8,1,0,0,0,0,0,0,0,0,0,0,3.5,11,6,5,2,6,0,,GiveKe01
Davon Godchaux,30,NWE,DT,17,17,0,0,0,0,1,0,0,0,0,0,0,67,24,43,1,1,0,,GodcDa00
Chris Godwin,28,TAM,WR,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,GodwCh00
Dallas Goedert,29,PHI,TE,10,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,GoedDa00
Jared Goff,30,DET,QB,17,17,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,PB,GoffJa00
Eddie Goldman,30,ATL,DL,17,10,0,0,0,0,0,0,0,0,0,0,1,16,7,9,1,3,0,,GoldEd00
Chauncey Golston,26,DAL,DE,17,13,1,18,0,18,5,0,0,1,0,0,5.5,56,30,26,5,8,0,,GolsCh00
Christian Gonzalez,22,NWE,CB,16,16,2,2,0,2,11,0,0,1,63,1,0,59,50,9,1,1,0,AP-2,GonzCh00
Cameron Goode,26,MIA,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,GoodCa00
Tyler Goodson,24,IND,RB,16,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,GoodTy00
C.J. Goodwin,34,DAL,CB,17,0,0,0,0,0,0,1,0,1,0,0,0,9,8,1,0,0,0,,GoodC.00
Kyler Gordon,25,CHI,DB,15,13,0,0,0,0,5,1,0,3,0,0,0.5,75,48,27,4,2,0,,GordKy00
Adam Gotsis,32,IND,DT,5,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,2,0,,GotsAd00
Brandon Graham,36,PHI,DE,11,1,0,0,0,0,2,1,0,0,0,0,3.5,20,15,5,6,7,0,,GrahBr99
Jalen Graham,23,SFO,LB,8,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,1,0,0,,GrahJa02
Ta'Quon Graham,26,ATL,DL,10,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,1,0,,GrahTa00
Carl Granderson,28,NOR,DE,17,17,0,0,0,0,4,1,0,0,0,0,5.5,61,36,25,9,13,0,,GranCa01
Kylen Granson,26,IND,TE,17,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,GranKy00
Richie Grant,27,ATL,S,17,1,0,0,0,0,2,0,0,0,0,0,0,14,13,1,2,0,0,,GranRi00
Cedric Gray,22,TEN,LB,7,0,0,0,0,0,0,0,0,0,0,0,0,22,13,9,0,0,0,,GrayCe00
Eric Gray,25,NYG,RB,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,GrayEr01
J.T. Gray,28,NOR,DB,17,0,0,0,0,0,0,1,0,0,0,0,0,25,12,13,0,0,0,AP-2,GrayJ.00
Noah Gray,25,KAN,TE,17,10,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,GrayNo00
Art Green,24,NYG,CB,9,0,0,0,0,0,0,1,0,0,0,0,0,7,5,2,0,0,0,,GreeAr01
Renardo Green,24,SFO,CB,17,7,1,20,0,20,13,1,0,0,0,0,0,61,41,20,0,0,0,,GreeRe00
Jonathan Greenard,27,MIN,OLB,17,17,0,0,0,0,3,4,0,0,0,0,12,59,41,18,18,22,0,PB,GreeJo04
Mike Greene,25,TAM,DL,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,,GreeMi01
Dre Greenlaw,27,SFO,LB,2,2,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,,GreeDr00
Antonio Grier,24,TAM,LB,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,GrieAn00
Shaquill Griffin,29,MIN,CB,17,3,2,28,0,28,6,0,0,0,0,0,0,41,33,8,1,0,0,,GrifSh00
Yetur Gross-Matos,26,SFO,DL,11,0,0,0,0,0,0,0,0,0,0,0,4,19,14,5,6,7,0,,GrosYe00
Kamu Grugier-Hill,30,MIN,LB,17,1,2,5,0,5,3,0,0,0,0,0,0,18,11,7,0,0,0,,GrugKa00
Blake Grupe,26,NOR,K,17,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,GrupBl00
Isaac Guerendo,24,SFO,RB,16,3,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,,GuerIs00
Lawrence Guy,34,CIN,DT,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,,GuyxLa00
Tyler Guyton,23,DAL,OT,15,11,0,0,0,0,0,0,1,1,-5,0,0,0,0,0,0,0,0,,GuytTy00
Troy Hairston,26,HOU,FB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,HairTr00
Breece Hall,23,NYJ,RB,16,16,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,,HallBr03
Darren Hall,24,ARI,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,HallDa03
Derick Hall,23,SEA,OLB,17,14,0,0,0,0,0,2,0,1,36,1,8,37,20,17,6,20,0,,HallDe04
Kemon Hall,27,DAL,CB,6,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,,HallKe01
Logan Hall,24,TAM,DL,16,10,0,0,0,0,1,0,0,1,0,0,5.5,28,17,11,6,10,0,,HallLo00
Michael Hall,21,CLE,DT,8,3,0,0,0,0,0,0,0,0,0,0,1,14,8,6,3,6,0,,HallMi00
C.J. Ham,31,MIN,FB,17,3,0,0,0,0,0,0,1,1,0,0,0,4,2,2,0,0,0,,HamxC.00
Antonio Hamilton,31,ATL,CB,11,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,,HamiAn01
DaVon Hamilton,27,JAX,DT,17,14,0,0,0,0,0,0,0,0,0,0,0,62,34,28,5,2,0,,HamiDa02
Kyle Hamilton,23,BAL,S,17,17,1,0,0,0,9,2,0,1,8,0,2,107,77,30,4,6,0,PBAP-2,HamiKy00
Damar Hamlin,26,BUF,S,14,14,2,19,0,19,5,0,0,1,0,0,0,89,62,27,2,0,0,,HamlDa00
Nick Hampton,24,LAR,OLB,14,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,,HampNi00
Da'Shawn Hand,29,MIA,DT,17,2,0,0,0,0,1,1,0,1,0,0,1,31,20,11,5,4,0,,HandDa00
Johnathan Hankins,32,SEA,DT,17,8,1,0,0,0,1,0,0,0,0,0,1,30,15,15,5,2,0,,HankJo00
Jake Hansen,26,HOU,LB,16,2,0,0,0,0,0,0,0,0,0,0,1,28,17,11,1,1,0,,HansJa01
C.J. Hanson,23,KAN,OL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,HansCJ00
Justin Hardee,30,TEN,CB,9,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,HardJu01
Myles Harden,23,CLE,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,HardMy00
Daniel Hardy,26,CHI,DL,17,0,0,0,0,0,0,1,0,0,0,0,0,12,7,5,0,0,0,,HardDa01
Javon Hargrave,31,SFO,DL,3,3,0,0,0,0,0,0,0,0,0,0,1,7,4,3,1,1,0,,HargJa00
Thomas Harper,24,LVR,S,15,5,1,14,0,14,2,0,0,1,0,0,0.5,26,13,13,0,1,0,,HarpTh00
Jaylen Harrell,22,TEN,OLB,17,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5,2,0,0,,HarrJa05
Charles Harris,29,2TM,OLB,13,6,0,0,0,0,0,0,0,0,0,0,3,24,16,8,4,7,0,,HarrCh03
Christian Harris,23,HOU,LB,3,3,0,0,0,0,0,0,0,0,0,0,1,20,13,7,1,1,0,,HarrCh06
Darius Harris,28,DAL,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,HarrDa07
Demone Harris,29,ATL,DL,9,0,0,0,0,0,1,0,0,0,0,0,0,11,4,7,1,1,0,,HarrDe06
Jonathan Harris,28,CAR,DE,7,0,0,0,0,0,0,0,0,1,0,0,0,10,4,6,1,1,0,,HarrJo05
Josh Harris,35,LAC,LS,17,0,0,0,0,0,0,0,1,0,-22,0,0,1,0,1,0,0,0,,HarrJo02
Shelby Harris,33,CLE,DT,14,13,0,0,0,0,2,1,0,0,0,0,1.5,37,18,19,5,5,0,,HarrSh00
Will Harris,29,NOR,CB,13,13,1,7,0,7,5,0,0,0,0,0,0,74,54,20,3,0,0,,HarrWi02
Malik Harrison,26,BAL,LB,15,7,0,0,0,0,0,0,0,0,0,0,2,54,22,32,3,3,0,,HarrMa06
Marvin Harrison Jr.,22,ARI,WR,17,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,HarrMa09
Ronnie Harrison,27,IND,S,10,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,,HarrRo02
Zach Harrison,23,ATL,DL,17,1,0,0,0,0,2,0,0,0,0,0,1,26,6,20,3,1,1,,HarrZa00
Cam Hart,24,LAC,CB,14,6,0,0,0,0,7,1,0,0,0,0,0.5,37,28,9,0,2,0,,HartCa00
Hassan Haskins,25,LAC,RB,17,0,0,0,0,0,0,0,1,0,0,0,0,6,2,4,0,0,0,,HaskHa00
Hogan Hatten,24,DET,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,,HattHo00
Jaylinn Hawkins,27,NWE,S,17,7,0,0,0,0,1,0,0,1,0,0,0,48,27,21,3,0,0,,HawkJa00
Tre Hawkins,24,NYG,CB,3,1,1,0,0,0,2,0,0,0,0,0,0,10,8,2,0,0,0,,HawkTr00
Josh Hayes,25,TAM,DB,15,3,0,0,0,0,3,0,0,1,0,0,0,34,22,12,0,0,0,,HayeJo01
Marquis Haynes,31,CAR,OLB,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,,HaynMa01
Malik Heath,24,GNB,WR,13,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,HeatMa00
Bruce Hector,30,NYJ,DL,6,0,0,0,0,0,0,0,0,0,0,0,1,10,4,6,3,1,0,,HectBr00
Johnny Hekker,34,CAR,P,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,HekkJo00
Peyton Hendershot,25,KAN,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,HendPe01
Trey Hendrickson,30,CIN,DE,17,17,0,0,0,0,6,2,0,0,0,0,17.5,46,33,13,19,36,0,PBAP-1,HendTr00
Daiyan Henley,25,LAC,LB,17,17,1,4,0,4,8,0,0,0,0,0,1,147,84,63,7,3,0,,HenlDa00
Thomas Hennessy,30,NYJ,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,HennTh00
Derrick Henry,30,BAL,RB,17,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,PBAP-2,HenrDe00
K.J. Henry,25,DAL,DE,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,1,0,,HenrKJ00
Justin Herbert,26,LAC,QB,17,17,0,0,0,0,0,0,6,4,-6,0,0,0,0,0,0,0,0,,HerbJu00
Khalil Herbert,26,2TM,RB,14,1,0,0,0,0,0,0,1,3,0,0,0,2,1,1,0,0,0,,HerbKh00
Nick Herbig,23,PIT,LB,13,5,0,0,0,0,0,4,0,2,0,0,5.5,22,13,9,5,11,0,,HerbNi00
Malik Herring,27,KAN,DE,12,0,0,0,0,0,0,0,0,0,0,0,0,12,7,5,1,3,0,,HerrMa02
Neville Hewitt,31,HOU,LB,17,4,1,45,0,45,3,2,0,0,0,0,0,60,32,28,0,1,0,,HewiNe00
Cameron Heyward,35,PIT,DT,17,17,0,0,0,0,11,0,0,0,0,0,8,71,35,36,12,20,0,PBAP-1,HeywCa01
Connor Heyward,25,PIT,TE,17,5,0,0,0,0,0,0,0,1,0,0,0,8,6,2,0,0,0,,HeywCo00
Shaka Heyward,24,CIN,LB,6,0,0,0,0,0,0,1,0,0,0,0,0,6,5,1,1,0,0,,HeywSh00
Ronnie Hickman,23,CLE,S,14,5,0,0,0,0,1,0,0,1,0,0,0,45,26,19,1,1,0,,HickRo00
Elijah Hicks,25,CHI,DB,12,7,0,0,0,0,2,0,0,2,28,0,0,40,24,16,0,0,0,,HickEl00
Faion Hicks,27,SEA,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,HickFa00
Jaden Hicks,22,KAN,DB,17,1,3,50,0,47,5,0,0,0,0,0,0,29,23,6,3,0,0,,HickJa01
Jordan Hicks,32,CLE,LB,12,12,0,0,0,0,4,0,0,0,0,0,2,78,40,38,4,5,0,,HickJo00
Elijah Higgins,24,ARI,TE,17,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,HiggEl00
Tee Higgins,25,CIN,WR,12,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,HiggTe00
Alex Highsmith,27,PIT,LB,11,11,0,0,0,0,2,1,0,0,0,0,6,45,28,17,9,13,0,,HighAl02
B.J. Hill,29,CIN,DT,15,15,0,0,0,0,4,0,0,0,0,0,3,56,25,31,7,9,0,,HillB.00
Daxton Hill,24,CIN,CB,5,5,0,0,0,0,2,0,0,0,0,0,1,25,20,5,1,1,0,,HillDa04
Jamal Hill,23,HOU,LB,8,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,HillJa02
Julian Hill,24,MIA,TE,16,11,0,0,0,0,0,0,1,0,0,0,0,4,1,3,0,0,0,,HillJu02
Taysom Hill,34,NOR,TE,8,8,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,,HillTa00
Troy Hill,33,CAR,CB,6,2,0,0,0,0,1,0,0,0,0,0,0,32,20,12,1,0,0,,HillTr01
Mike Hilton,30,CIN,CB,16,10,1,0,0,0,5,0,0,0,0,0,0,73,50,23,12,1,0,,HiltMi01
Josh Hines-Allen,27,JAX,DE,16,16,0,0,0,0,2,1,0,1,13,0,8,45,26,19,10,19,0,,AlleJo03
Kurt Hinish,25,HOU,DT,10,0,0,0,0,0,0,0,0,0,0,0,0,12,5,7,2,0,0,,HiniKu00
Nate Hobbs,25,LVR,CB,11,7,1,35,0,35,5,0,0,0,0,0,0,49,33,16,2,1,0,,HobbNa00
KhaDarel Hodge,29,ATL,WR,17,2,0,0,0,0,0,0,0,1,0,1,0,7,4,3,1,0,0,PB,HodgKh00
Michael Hoecht,27,LAR,OLB,17,5,0,0,0,0,2,0,0,0,0,0,3,56,24,32,4,6,0,,HoecMi00
Brock Hoffman,25,DAL,C,17,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,HoffBr00
George Holani,25,SEA,RB,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,HolaGe00
Dallin Holker,24,NOR,TE,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,HolkDa00
Jevon Holland,24,MIA,S,15,15,0,0,0,0,4,1,0,0,0,0,1,62,42,20,2,2,0,,HollJe02
Mack Hollins,31,BUF,WR,17,13,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,HollMa00
Ka'dar Hollman,30,2TM,CB,10,1,0,0,0,0,2,0,0,0,0,0,0,13,11,2,0,0,0,,HollKa00
Darnay Holmes,26,LVR,CB,16,1,0,0,0,0,3,0,0,0,0,0,1,30,14,16,2,1,0,,HolmDa01
Jalyn Holmes,28,2TM,DL,16,0,0,0,0,0,0,0,0,0,0,0,2,18,11,7,6,3,0,,HolmJa01
Travis Homer,26,CHI,RB,10,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,,HomeTr00
Amani Hooker,26,TEN,S,14,14,5,68,0,30,9,2,0,0,0,0,0,71,47,24,4,2,0,,HookAm00
Malik Hooker,28,DAL,S,17,17,2,20,0,21,5,0,0,0,0,0,0,81,51,30,3,1,0,,HookMa00
Austin Hooper,30,NWE,TE,17,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,HoopAu00
DeAndre Hopkins,32,TEN,WR,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,HopkDe00
Ty'Ron Hopper,23,GNB,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,0,0,,HoppTy00
Jaycee Horn,25,CAR,CB,15,15,1,0,0,0,13,0,0,0,0,0,2,68,49,19,5,2,0,PB,HornJa00
Dylan Horton,24,HOU,DE,13,0,0,0,0,0,1,0,0,0,0,0,0,16,6,10,1,2,0,,HortDy00
James Houston,26,DET,LB,8,0,0,0,0,0,0,0,0,0,0,0,1,8,5,3,1,2,0,,HousJa01
Tytus Howard,28,HOU,T,16,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,HowaTy00
Jordan Howden,24,NOR,DB,17,4,2,-2,0,3,2,0,0,0,0,0,0,50,27,23,1,0,0,,HowdJo00
Chuba Hubbard,25,CAR,RB,15,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,HubbCh01
Sam Hubbard,29,CIN,DE,14,14,1,0,0,0,2,1,0,0,0,0,2,41,25,16,3,9,1,,HubbSa00
Khaleke Hudson,27,CLE,OLB,16,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,1,0,,HudsKh00
Tanner Hudson,30,CIN,TE,11,0,0,0,0,0,0,0,1,1,0,0,0,4,4,0,0,0,0,,HudsTa00
Talanoa Hufanga,25,SFO,S,7,7,0,0,0,0,0,0,0,0,0,0,0,38,20,18,2,0,0,,HufaTa00
Bryce Huff,26,PHI,DE,12,6,0,0,0,0,0,1,0,0,0,0,2.5,13,5,8,3,4,0,,HuffBr00
Jerry Hughes,36,HOU,DE,7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,HughJe99
Mike Hughes,27,ATL,CB,15,15,0,0,0,0,6,0,0,0,0,0,0,66,51,15,4,0,0,,HughMi00
Charley Hughlett,34,CLE,LS,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,HughCh01
Jake Hummel,25,LAR,LB,17,1,0,0,0,0,0,0,0,0,0,0,0,17,11,6,0,0,0,,HummJa00
Creed Humphrey,25,KAN,C,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PBAP-1,HumpCr00
Lil'Jordan Humphrey,26,DEN,WR,17,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,HumpLi01
Marlon Humphrey,28,BAL,CB,16,16,6,37,1,37,15,2,0,0,0,0,0.5,67,50,17,5,4,0,PBAP-1,HumpMa00
Jalyx Hunt,23,PHI,OLB,16,1,0,0,0,0,1,2,0,0,0,0,1.5,21,12,9,1,3,0,,HuntJa02
Danielle Hunter,30,HOU,DE,17,17,0,0,0,0,3,1,0,0,0,0,12,46,31,15,17,23,0,,HuntDa01
Tyler Huntley,26,MIA,QB,5,5,0,0,0,0,0,0,6,3,-16,0,0,0,0,0,0,0,0,,HuntTy01
Maurice Hurst Jr.,29,CLE,DT,8,2,0,0,0,0,0,0,0,0,0,0,0.5,16,9,7,4,1,0,,HursMa00
Jalen Hurts,26,PHI,QB,15,15,0,0,0,0,0,0,9,2,-8,0,0,0,0,0,0,0,0,,HurtJa00
Aidan Hutchinson,24,DET,DL,5,5,0,0,0,0,0,1,0,0,0,0,7.5,19,12,7,7,17,0,,HutcAi00
Xavier Hutchinson,24,HOU,WR,16,3,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,HutcXa00
Noah Igbinoghene,25,WAS,CB,17,10,0,0,0,0,7,0,0,0,0,0,0,55,33,22,1,0,0,,IgbiNo00
Thomas Incoom,25,CAR,OLB,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,0,,IncoTh00
Alec Ingold,28,MIA,FB,15,10,0,0,0,0,0,0,2,1,0,0,0,2,1,1,0,0,0,,IngoAl01
Ja'Marcus Ingram,27,BUF,CB,17,1,2,56,1,31,4,0,0,0,0,0,1,24,16,8,2,1,0,,IngrJa00
Keaontay Ingram,25,KAN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,IngrKe01
Bucky Irving,22,TAM,RB,17,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,,IrviBu00
Adisa Isaac,23,BAL,OLB,4,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,1,0,0,,IsaaAd00
DJ Ivey,24,CIN,CB,11,0,0,0,0,0,2,0,1,0,0,0,0,4,4,0,0,0,0,,IveyDJ00
Christian Izien,24,TAM,S,14,10,1,17,0,17,3,1,0,0,0,0,0,75,48,27,4,0,0,,IzieCh00
Adoree' Jackson,29,NYG,CB,14,5,0,0,0,0,5,1,0,1,0,0,0,28,18,10,1,0,0,,JackAd00
Austin Jackson,25,MIA,OL,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,JackAu00
Brennan Jackson,24,LAR,OLB,7,1,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,,JackBr02
D'Marco Jackson,26,NOR,LB,10,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,0,0,0,,JackDM00
Dane Jackson,28,CAR,CB,9,3,0,0,0,0,2,0,0,0,0,0,0,23,15,8,1,0,0,,JackDa02
Donte Jackson,29,PIT,CB,15,15,5,88,0,49,8,0,0,1,-1,0,0,38,28,10,2,0,0,,JackDo02
Eddie Jackson,31,BAL,FS,9,4,0,0,0,0,1,0,0,0,0,0,0,30,18,12,1,1,0,,JackEd01
Jha'Quan Jackson,24,TEN,WR,12,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,,JackJh00
Jordan Jackson,26,DEN,DL,17,0,0,0,0,0,0,1,0,0,0,0,1,17,4,13,1,2,0,,JackJo06
Kareem Jackson,36,BUF,S,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,JackKa99
Lamar Jackson,27,BAL,QB,17,17,0,0,0,0,0,0,10,5,-28,0,0,0,0,0,0,0,0,PBAP-1,JackLa00
McKinnley Jackson,23,CIN,DT,13,1,0,0,0,0,0,1,0,0,0,0,1,15,6,9,2,1,0,,JackMc00
Michael Jackson,27,CAR,CB,17,17,2,20,0,19,17,0,0,0,0,0,0,76,58,18,3,0,0,,JackMi01
Theo Jackson,26,MIN,S,17,0,1,3,0,3,3,0,0,0,0,0,0,17,11,6,0,0,0,,JackTh00
