Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Code
John Bates,27,WAS,TE,17,6,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,,BateJo00
Jordan Battle,24,CIN,S,17,6,1,0,0,0,3,0,1,1,60,0,0,58,35,23,1,1,0,,BattJo00
Miles Battle,24,NWE,CB,1,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,,BattMi00
Zack Baun,28,PHI,LB,16,16,1,0,0,0,4,5,0,1,0,0,3.5,151,93,58,11,5,0,PBAP-1,BaunZa00
Robert Beal,25,SFO,DL,14,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6,0,0,0,,BealRo00
Cooper Beebe,23,DAL,OG,16,16,0,0,0,0,0,0,1,1,-12,0,0,0,0,0,0,0,0,,BeebCo00
D'Anthony Bell,28,CLE,S,17,1,0,0,0,0,0,0,0,0,0,0,0,19,10,9,1,1,0,,BellDA03
Jaheim Bell,23,NWE,TE,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BellJa00
Markquese Bell,25,DAL,S,9,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,,BellMa01
Quinton Bell,28,MIA,LB,17,3,0,0,0,0,1,1,0,0,0,0,1,27,16,11,3,0,0,,BellQu00
Vonn Bell,30,CIN,S,17,11,1,32,0,32,2,1,0,1,0,0,0,55,24,31,1,1,0,,BellVo00
Daniel Bellinger,24,NYG,TE,17,8,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,BellDa00
Nick Bellore,35,WAS,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,21,11,10,1,0,0,,BellNi01
Dane Belton,24,NYG,S,17,6,1,0,0,0,6,1,0,1,0,0,1,56,28,28,1,1,0,,BeltDa00
Christian Benford,24,BUF,CB,15,15,2,30,0,24,10,2,0,1,43,0,1,64,50,14,3,1,0,,BenfCh00
Jakorian Bennett,24,LVR,CB,10,7,0,0,0,0,8,0,0,0,0,0,0,26,15,11,0,0,0,,BennJa00
Trey Benson,21,ARI,RB,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,BensTr01
Ja'Whaun Bentley,28,NWE,LB,2,2,0,0,0,0,0,0,0,0,0,0,0.5,12,7,5,0,1,0,,BentJa00
Keeanu Benton,23,PIT,DL,17,14,1,11,0,11,6,0,0,1,0,0,1,36,16,20,2,8,0,,BentKe00
Matthew Bergeron,24,ATL,OL,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,BergMa00
Terrel Bernard,25,BUF,LB,13,13,2,1,0,1,3,0,0,1,0,0,1,104,55,49,5,3,0,,BernTe00
Jarrick Bernard-Converse,24,NYJ,CB,7,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,,BernJa01
JD Bertrand,24,ATL,LB,12,0,0,0,0,0,0,0,0,0,0,0,1,23,16,7,1,1,0,,BertJD00
Tatum Bethune,23,SFO,LB,11,1,0,0,0,0,0,0,0,2,0,0,0,7,1,6,0,0,0,,BethTa00
Tyler Biadasz,27,WAS,C,15,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,BiadTy00
Tank Bigsby,23,JAX,RB,16,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,,BigsTa00
Andrew Billings,29,CHI,DL,8,8,0,0,0,0,0,1,0,0,0,0,1,13,9,4,2,3,0,,BillAn00
Beanie Bishop,25,PIT,CB,17,6,4,46,0,41,7,0,0,1,0,0,0.5,45,30,15,2,1,0,,BishBe00
Cole Bishop,22,BUF,S,16,4,0,0,0,0,2,1,0,0,0,0,0,40,25,15,1,0,0,,BishCo00
Joel Bitonio,33,CLE,G,17,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,BitoJo00
Julian Blackmon,26,IND,S,16,16,3,27,0,17,4,0,0,1,0,0,0.5,86,62,24,1,1,0,,BlacJu01
Raheem Blackshear,25,CAR,RB,16,1,0,0,0,0,0,0,2,2,0,0,0,3,2,1,0,0,0,,BlacRa00
Angelo Blackson,32,ARI,DL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BlacAn00
Josh Blackwell,25,CHI,DB,17,1,1,10,0,10,2,0,0,0,0,0,0,13,10,3,0,0,0,,BlacJo00
Marquise Blair,27,SEA,FS,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,BlaiMa01
DaRon Bland,25,DAL,CB,7,7,0,0,0,0,5,1,0,1,0,0,0,41,29,12,0,0,0,,BlanDa00
Reed Blankenship,25,PHI,S,15,15,4,29,0,28,6,0,0,1,16,0,0,78,52,26,0,0,0,,BlanRe00
Khari Blasingame,28,CHI,FB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BlasKh00
Joey Blount,26,ARI,S,15,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,BlouJo00
Chris Board,29,BAL,LB,17,1,0,0,0,0,1,0,0,1,0,0,1,30,18,12,2,1,0,,BoarCh00
Jacob Bobenmoyer,27,LVR,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,,BobeJa00
Jake Bobo,26,SEA,WR,17,3,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,,BoboJa00
Corey Bojorquez,28,CLE,P,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BojoCo00
Isaiah Bolden,25,NWE,CB,14,0,0,0,0,0,0,0,0,1,0,0,0,10,7,3,1,0,0,,BoldIs00
Nick Bolton,24,KAN,LB,16,16,1,0,0,0,6,1,0,2,0,0,3,106,73,33,11,7,0,,BoltNi00
Nik Bonitto,25,DEN,OLB,17,15,1,71,1,71,4,2,0,1,50,1,13.5,48,33,15,16,24,0,PBAP-2,BoniNi00
Ethan Bonner,25,MIA,CB,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BonnEt00
Austin Booker,22,CHI,DL,17,0,0,0,0,0,0,0,0,0,0,0,1.5,21,14,7,3,4,0,,BookAu00
Thomas Booker,25,PHI,DT,17,1,0,0,0,0,1,0,0,0,0,0,1,18,8,10,2,2,0,,BookTh00
Andrew Booth,24,DAL,CB,7,2,0,0,0,0,1,0,0,0,0,0,0,15,10,5,0,0,0,,BootAn00
Dicaprio Bootle,27,LAC,CB,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,BootDi00
Tanor Bortolini,22,IND,G,12,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,BortTa00
Joey Bosa,29,LAC,OLB,14,9,0,0,0,0,0,2,0,0,0,0,5,22,17,5,5,13,0,,BosaJo00
Nick Bosa,27,SFO,DL,14,14,1,30,0,30,1,1,0,1,0,0,9,52,33,19,15,24,0,PB,BosaNi00
Kendrick Bourne,29,NWE,WR,12,9,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,,BourKe00
Tyus Bowser,29,2TM,OLB,9,5,0,0,0,0,0,0,0,0,0,0,0,11,6,5,0,0,0,,BowsTy00
Khristian Boyd,24,NOR,DT,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,BoydKh00
Kris Boyd,28,HOU,CB,17,0,0,0,0,0,0,0,0,1,0,0,0,8,5,3,0,0,0,,BoydKr00
Bradley Bozeman,30,LAC,C,17,17,0,0,0,0,0,0,1,0,-3,0,0,0,0,0,0,0,0,,BozeBr00
Swayze Bozeman,26,KAN,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,BozeSw00
Beau Brade,22,BAL,S,11,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,BradBe01
Anthony Bradford,23,SEA,G,11,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,BradAn00
Millard Bradford,25,NOR,S,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,BradMi00
Brian Branch,23,DET,DB,16,16,4,48,0,47,16,1,0,0,0,0,1,109,79,30,8,6,0,PB,BranBr00
Chris Braswell,23,TAM,OLB,17,0,0,0,0,0,0,1,0,0,0,0,1.5,18,11,7,1,8,0,,BrasCh01
Christian Braswell,25,JAX,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,,BrasCh00
Jake Brendel,32,SFO,OL,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,BrenJa01
Julius Brents,24,IND,CB,2,1,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,,BrenJu00
Bryan Bresee,23,NOR,DT,17,11,0,0,0,0,3,1,0,0,0,0,7.5,25,17,8,7,14,0,,BresBr00
Aaron Brewer,27,MIA,OL,17,17,0,0,0,0,0,0,1,1,-22,0,0,0,0,0,0,0,0,,BrewAa01
C.J. Brewer,27,TAM,DL,12,0,0,0,0,0,2,0,0,0,0,0,2,12,7,5,3,3,0,,BrewCJ00
Jowon Briggs,23,CLE,DT,6,0,0,0,0,0,0,0,0,1,0,0,0,13,3,10,1,2,0,,BrigJo00
Jaquan Brisker,25,CHI,DB,5,5,1,0,0,0,2,1,0,0,0,0,1,40,23,17,3,1,0,,BrisJa01
Jacoby Brissett,32,NWE,QB,8,5,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,,BrisJa00
K.J. Britt,25,TAM,LB,14,11,0,0,0,0,1,0,0,0,0,0,0.5,72,40,32,2,1,0,,BritKJ00
British Brooks,25,HOU,RB,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,BrooBr01
Chris Brooks,24,GNB,RB,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,,BrooCh00
Jalen Brooks,24,DAL,WR,14,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,,BrooJa03
