Player,G,PP,POS,SCR,AST,GLS,BLK,PLUSMINUS,CMP,CMPPER,Y,TY,RY,OEFF,HA,T,S,D,C,HCK,HCKPER,PUL,OPP,DPP,MP
Jeremy Langdon - ATL,9,16.22,16.56,3.89,1.78,2.11,0.22,3.44,12,96.43,235.67,90.67,145,63.76,1.67,0.33,0,0.33,0,0.22,66.67,0.44,12.78,3.44,16.83
Stefan McCall - OAK,9,16.22,12,1.78,1.22,0.56,1,2,10.33,93.94,113.56,44.11,69.44,51.85,0.33,0.56,0,0.22,0,0.33,60,0,1.22,15,20.09
Daniel Brunker - SD,10,16.2,19.3,3.3,2.1,1.2,0.5,2.3,24.2,95.28,307.3,203.7,103.6,52.33,1.6,1.2,0,0.3,0,0.8,72.73,0.1,13.3,2.9,18.51
Jack Kempe - IND,5,16.2,15.2,0.8,0.6,0.2,0.4,0.6,12.6,94.03,129.6,89,40.6,34.21,0.8,0.6,0,0,0,0.2,50,0,7.6,8.6,17.32
Jake Rubin-Miller - CHI,11,16.18,13.36,1.45,0.45,1,0.82,1.91,4.91,94.74,73.55,19.09,54.45,61.9,0.73,0.27,0,0.09,0.09,0.09,100,0,0.36,15.82,20.25
Jesse Cohen - SD,12,16.17,16.75,3.42,1.75,1.67,0.58,3.42,9.67,93.55,199.42,78.75,120.67,61.69,1.08,0.5,0,0.08,0,0.25,100,0,11.92,4.25,16.71
Josh Moore - ORE,6,16.17,20.67,3.5,2.17,1.33,0.33,1.67,22,91.67,319.83,128.17,191.67,40.32,0.83,1.67,0,0.5,0,0.33,40,0,15.5,0.67,19.49
Eric Sjostrom - MAD,7,16.14,21.71,3.57,2.71,0.86,0.29,2.71,31.43,96.49,387.71,326.71,61,52.63,1.43,1,0,0.14,0,1.71,92.31,0,16,0.14,21.4
Sawyer Thompson - OAK,8,16.13,11,1.25,0.5,0.75,0.5,1,4.38,85.37,93.13,44.88,48.25,46.59,0.63,0.75,0,0,0,0.13,50,0.75,0.5,15.63,18.12
Ben Close - IND,9,16.11,14.67,1.22,0.56,0.67,0.67,0.89,11.44,91.15,131.78,58.78,73,41.67,0.67,1,0,0,0,0.22,100,2.89,7.11,9,17.11
Joe Leibforth - MAD,10,16.1,10.7,0.9,0.4,0.5,0.6,1.1,2.2,73.33,47.9,11.5,36.4,52.34,0.2,0.4,0,0,0,0,0,0,0,16.1,18.25
Jack Shanahan - CHI,11,16.09,20.18,2.36,1.27,1.09,0.27,1.64,15.09,93.79,233,107.27,125.73,56.31,1.64,0.82,0.09,0.18,0,0.55,60,0.18,15.27,0.82,17.93
Caiden Burt - HTX,12,16.08,10.58,1.33,0.33,1,0.5,1.42,3.33,88.89,81.75,16.75,65,37.01,0.25,0.33,0,0.08,0,0.17,66.67,0,4.33,11.75,17.52
Nathanial Dick - BOS,14,16.07,21,1.79,0.79,1,0.07,1.14,30.14,98.14,247.29,186.07,61.21,55.78,1.64,0.57,0,0.14,0,0.14,66.67,0,16.07,0,21.46
Christian Belus - CAR,3,16,11,2,0.33,1.67,1,2.33,4,,69,5.67,63.33,51.52,0,0.67,0,0,0,0,,0,2,14,17.17
Casey Thornton - PHI,4,16,17.25,1.25,1.25,0,0,-0.25,26,92.86,218.25,151.25,67,49.28,0,1.5,0,0,0,1,66.67,0,14,2,19.55
Danny Landesman - COL,2,16,20,0,0,0,0,-0.5,17,97.14,82.5,39.5,43,47.5,0.5,0.5,0,0,0,0,,0,15.5,0.5,18.75
Eric Crosby Lehmann - MIN,1,16,14,1,0,1,1,2,6,,75,35,40,,0,0,0,0,0,0,,0,2,14,12.18
Emmett Warner - ORE,5,16,10,1.4,1.2,0.2,0.2,0.6,12,93.75,126,85.4,40.6,46,0.4,0.8,0,0.2,0,0.6,42.86,3,4.8,11.2,18.58
Ian McNamara - DET,1,16,23,2,1,1,0,-3,12,,175,68,107,39.13,1,3,0,2,0,0,0,0,16,0,18.98
Kyle Kolafa - HTX,6,16,14.17,3.33,0.67,2.67,0.83,3.83,5.67,91.89,161.67,28.5,133.17,57.65,0.67,0.17,0,0.17,0,0.17,100,0.17,9.67,6.33,17.1
Max Gibson - SD,9,16,10.44,2.22,1.33,0.89,1.89,3.11,7.56,87.18,176.11,80,96.11,59.57,1,1,0,0,0,0.56,62.5,0.22,2.78,13.22,18.58
Michael Lun - COL,1,16,14,2,0,2,0,1,3,,51,14,37,,1,1,0,0,0,0,,0,0,16,16.7
Mark Mendelevitz - LV,8,16,16.75,1.38,1.25,0.13,0.25,-1.5,20.25,86.63,161.75,155.88,5.88,31.34,0.75,2.88,0,0.25,0,0.63,35.71,1,9.5,6.5,18.51
Mick Walter - ATX,11,16,10.91,1,0.45,0.55,0.64,1.64,6.18,100,81.73,48,33.73,50.83,0.36,0,0,0,0,0.09,100,0,2.27,13.73,17.73
Nick Hutton - IND,1,16,16,1,1,0,1,-3,15,75,274,269,5,,3,4,0,1,0,3,60,7,7,9,19.15
Stephen Poulos - LV,8,16,20.63,1,0.88,0.13,0.13,-3.25,18.38,78.61,217,223,-6,27.88,0.38,4.38,0,0,0,1.25,40,0.25,14.5,1.5,19.22
Sean Wiles - CAR,8,16,19.38,1.38,0.38,1,0,1.25,12.5,99.01,192.25,19.25,173,64.52,1.63,0.13,0,0,0,0.25,100,0,15.75,0.25,18.81
Oscar Brown - SLC,12,15.92,9.5,1,0.67,0.33,0.33,0.17,9.67,89.23,73.83,45.92,27.92,57.89,0.75,1.17,0,0,0,0.25,75,1.33,0.92,15,17.74
Tommy Lin - SEA,12,15.92,9.25,0.92,0.42,0.5,0.17,0,5.33,84.21,61.92,35,26.92,46.85,0.5,0.75,0,0.33,0,0.25,50,0.08,0.67,15.25,16.47
Ted Schewe - MAD,12,15.92,21.92,1.92,1.25,0.67,0.25,1,28.17,94.94,269.33,203.92,65.42,48.67,1.25,1.08,0,0.08,0,0.5,75,0,15.92,0,20.04
Brandon Dial - ATX,11,15.91,11.73,1,0.45,0.55,0.36,1,8.91,96.08,77.82,35.64,42.18,51.16,0.55,0.36,0,0,0,0,,0.27,2.45,13.45,18.36
Gabe Dobrozsi - DET,7,15.86,10.14,0.14,0.14,0,0.71,0,4.71,84.62,47.57,16.71,30.86,28.17,0.29,0.86,0,0,0,0.14,50,1.29,3.71,12.14,15.87
Mitchell McCarthy - MAD,13,15.85,13.92,2.31,0.92,1.38,0.92,1.92,9.69,87.5,155.69,92.92,62.77,51.38,0.77,1.23,0.08,0.08,0,0.54,63.64,2.54,4,11.85,17.85
Lukas McClamrock - ATL,12,15.83,7.92,1.5,1,0.5,1.33,2,8.67,89.66,92.17,63.67,28.5,57.89,1,0.83,0,0,0.08,0.08,50,0,0.25,15.58,17.61
Leo Sovell-Fernandez - MIN,12,15.83,18.67,1.33,0.58,0.75,0.25,0.5,20.58,96.11,212.75,127.67,85.08,55.8,1.83,0.75,0,0.33,0,0,,0,13.42,2.42,18.26
Ryan Dinger - BOS,12,15.83,19.83,1.92,1.17,0.75,0.17,0.58,30.08,95.5,287.75,233.92,53.83,59.66,2.08,1.25,0,0.25,0,0.67,61.54,0,15.75,0.08,19.31
Ywan Cohonner - MTL,6,15.83,9,0.83,0.67,0.17,0.33,0.33,7.17,93.48,96.5,64.67,31.83,55.56,0.83,0.5,0,0.33,0,0.17,100,0,2.33,13.5,17.08
Harrison Tucker - LV,11,15.82,18.09,1.36,0.18,1.18,0.18,1.09,5.73,96.92,112.18,2.82,109.36,29.15,0.55,0.18,0,0.27,0,0.09,100,0,11.45,4.36,18.29
Tynan Sander - SD,10,15.8,9.1,0.7,0.1,0.6,0.4,0.7,5.6,91.8,76.1,50,26.1,50.55,0.6,0.4,0,0,0,0.3,75,4.1,2.4,13.4,18.14
